date	temperature
16-01-11	0
16-01-12	0
16-01-13	15.1
16-01-14	15.1
16-01-15	15.1
16-01-16	15.1
16-01-17	30.4
16-01-18	54.6
16-01-19	54.6
16-01-20	54.6
16-01-21	54.6
16-01-22	54.6
16-01-23	54.6
16-01-24	54.6
16-01-25	54.6
16-01-26	54.6
16-01-27	54.6
16-01-28	54.6
16-01-29	54.6
16-01-30	54.6
16-01-31	54.6
16-02-01	54.6
16-02-02	54.6
16-02-03	54.6
16-02-04	54.6
16-02-05	54.6
16-02-06	54.6
16-02-07	54.6
16-02-08	54.6
16-02-09	54.6
